,shop_id,shop_name,rating_bad,rating_good,rating_normal,rating_star,place,create_time
96,299252,cuahangtcs,2744,214339,5422,4.843861,"Quận Hoàng Mai, Hà Nội",1439005294
97,53355040,tueminhcar,22,3400,43,4.90625,"Quận Long Biên, Hà Nội",1516529218
98,17917892,tcar.pro,23,2574,52,4.869919,"Quận Hải An, Hải Phòng",1489135076
99,17917892,tcar.pro,23,2574,52,4.869919,"Quận Hải An, Hải Phòng",1489135076
100,500301250,gomhang.vn,30,1129,43,4.742259,"Quận Ba Đình, Hà Nội",1627633635
101,53355040,tueminhcar,22,3400,43,4.90625,"Quận Long Biên, Hà Nội",1516529218
102,282050636,strongaromonyu.vn,204,4963,198,4.706772,,1594025165
103,376934776,shopcamerahanhtrinhchinhhang,48,2202,51,4.850667,"Quận Thanh Xuân, Hà Nội",1611300412
104,206468529,autotop1.vn,10,326,11,4.755814,,1575622313
105,14012700,rita_official,2,445,6,4.924107,"Quận Phú Nhuận, TP. Hồ Chí Minh",1482131719
106,35463152,hoangtuanshopvn,316,12966,499,4.769273,"Huyện Hoài Đức, Hà Nội",1505890480
107,607765391,mayhutchankhongkaw,68,1842,74,4.71875,"Quận Bình Tân, TP. Hồ Chí Minh",1638236350
108,119249450,trunghauyd,85,4112,152,4.789164,"Quận Hoàng Mai, Hà Nội",1546963402
109,417974504,4ainformation,16,3234,27,4.925522,"Quận Nam Từ Liêm, Hà Nội",1617688655
110,99552004,hainam_auto,86,4759,125,4.826247,"Quận Hà Đông, Hà Nội",1540791415
111,173997513,thienvuongshop87,29,735,32,4.697051,"Quận Bắc Từ Liêm, Hà Nội",1567054253
112,14012700,rita_official,2,445,6,4.924107,"Quận Phú Nhuận, TP. Hồ Chí Minh",1482131719
113,157008533,exquise.vn,529,24954,707,4.807898,,1561114252
114,646662818,officialstore70mai,40,6096,65,4.910938,"Quận Bình Tân, TP. Hồ Chí Minh",1641376519
115,297411514,z.store.sg,65,3003,95,4.79249,"Quận Tân Bình, TP. Hồ Chí Minh",1597569261
116,208264618,lananh8278,45,6948,84,4.915989,"Quận Cầu Giấy, Hà Nội",1575991109
117,767481533,ezvizhlc,8,370,5,4.828496,"Quận Hai Bà Trưng, Hà Nội",1652084151
118,162631527,cameraanninhgiare,53,2660,119,4.768833,"Quận Gò Vấp, TP. Hồ Chí Minh",1563025211
119,297411514,z.store.sg,65,3003,95,4.79249,"Quận Tân Bình, TP. Hồ Chí Minh",1597569261
120,810335152,arenti_official_store,2,85,5,4.714286,"Huyện Bình Chánh, TP. Hồ Chí Minh",1656993851
121,958799041,hanoinew90,4,378,2,4.955614,"Quận Đống Đa, Hà Nội",1677139120
122,48608792,camera_a_tan_official_store_sg,442,16283,651,4.741978,"Quận Tân Bình, TP. Hồ Chí Minh",1513528275
123,226704762,tenda_official_store,76,6489,149,4.861438,"Quận 10, TP. Hồ Chí Minh",1581388746
124,356131635,bachhoacamera,95,13151,125,4.925057,"Quận Hai Bà Trưng, Hà Nội",1607787350
125,171571510,phukienvietphuong,271,58211,761,4.923388,"Quận Tân Bình, TP. Hồ Chí Minh",1566234198
126,21078602,trumcongnghe,268,17752,368,4.847441,"Quận Ngô Quyền, Hải Phòng",1493179370
127,22020379,tdk0404,8,841,26,4.855491,"Quận 3, TP. Hồ Chí Minh",1494260355
128,21078602,trumcongnghe,268,17752,368,4.847441,"Quận Ngô Quyền, Hải Phòng",1493179370
129,335042018,khosidogiadunghcm,21,426,27,4.544669,"Quận Bình Tân, TP. Hồ Chí Minh",1604921593
130,463832370,evean4.vn,9,195,17,4.59633,,1623318344
131,3075268,zestore.vn,802,97195,2429,4.866745,"Quận Bắc Từ Liêm, Hà Nội",1454205168
132,290991655,smartour1.vn,0,29,1,4.9,,1596168313
133,59469433,ontekco.official.store,98,3660,93,4.76467,"Huyện Thanh Trì, Hà Nội",1520330477
134,22020379,tdk0404,8,841,26,4.855491,"Quận 3, TP. Hồ Chí Minh",1494260355
135,74799240,ishowmall.vn,287,8121,388,4.711154,,1529055528
136,329402900,70maiofficial,2,364,6,4.907859,"Quận Cầu Giấy, Hà Nội",1603957977
137,14012700,rita_official,2,445,6,4.924107,"Quận Phú Nhuận, TP. Hồ Chí Minh",1482131719
